status	path	disposition	reason
M	.github/actions/spawn-twenty-app-dev-test/action.yml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/actions/spawn-twenty-docker-image/action.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/actions/spawn-twenty-server/action.yml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/app-prod-parity-e2e-dispatch.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/cd-deploy-main.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/cd-deploy-tag.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-ai-catalog-sync.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-app-docs-drift.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-blocked-contributors.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-breaking-changes.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-create-app-e2e-minimal.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-cross-version-upgrade.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-dpa-subprocessors-sync.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
M	.github/workflows/ci-e2e-main.yaml	REIMPLEMENT AGAINST v2.37	Preserve Mhoo CI safety while retaining the current upstream workflow shape
